stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"	
co2 emiss intens	CO2 emission intensity	CO2 emission intensity|&|intensity of CO2 emission	3	5,9571354237	34,648562585	244,687724787	4	189	x	
co2 emiss reduct	CO2 emission reduction	CO2 emission reduction|&|reduction of CO2 emission	3	9,9285590395	52,6758419438	291,189534051	5	280	x	
co2 emiss	CO2 emissions	CO2 emissions|&|co2 emissions|&|CO2 emission|&|co2 emission|&|emissions of CO2	2	160,511216391	463,04782464	1347,67304857	80	4634	x	
coal-fir plant power	coal-fired power plant	coal-fired power plant|&|coal-fired power plants	3	15,8856944632	84,2813471101	205,617346458	5	300	x	
collabor work	collaborative work	collaborative work	2	7,8681968819	43,5746529293	199,16165337	5	147	x	
commit practic	commitment practices	commitment practices	2	9,4418362583	67,4856327522	165,595923588	1	74	x	
chain commod	commodity chains	commodity chains|&|commodity chain	2	11,0154756347	66,6315013132	281,553384789	3	157	x	
commun media	communication media	communication media|&|Communication media	2	20,4573118929	109,564288664	245,984089871	6	309	x	
commun network	communication network	communication network|&|communication networks|&|community networks	2	14,1627543874	75,8521998443	223,983221437	6	278	x	
commun servic	communication services	communication services|&|communication service|&|services for communication	2	7,8681968819	43,5746529293	224,203226428	5	221	x	
commun skill	communication skills	communication skills	2	6,2945575055	40,627367047	130,05171968	2	112	x	
commun studi	communication studies	communication studies	2	4,7209181291	30,4705252852	169,708236883	2	97	x	
commun system	communication systems	communication systems|&|communications systems|&|Communication Systems|&|communication system|&|system communication	2	14,1627543874	71,7778293106	176,660317004	8	383	x	
commun task	communication tasks	communication tasks	2	4,7209181291	28,5563577056	136,938597667	3	180	x	
commun technolog	communication technologies	communication technologies|&|communication technology|&|Communication Technologies|&|Communication Technology|&|communications technology|&|communications technologies|&|Communications Technology|&|Communications Technologies|&|Communication technology|&|technology and communication|&|Communication and Technology	2	88,1238050772	285,1235529	2779,44606879	170	8635	x	
commun develop technolog	communication technologies for development	communication technologies for development|&|communications technology for development|&|development of the communication technologies	4	7,9428472316	43,9130686939	230,528107324	4	169	x	
commun infrastructur	communications infrastructure	communications infrastructure|&|communication infrastructure	2	6,2945575055	36,2643122592	326,318150993	4	122	x	
commun develop	community development	community development|&|development community|&|COMMUNICATION DEVELOPMENT|&|developing community	2	6,2945575055	38,0751436075	137,68748454	3	173	x	
commut distanc	commuting distance	commuting distance	2	7,8681968819	50,7842088087	151,875933103	2	153	x	
compani manag	company managers	company managers	2	4,7209181291	28,5563577056	163,7694799	3	171	x	
analysi compar	comparative analysis	comparative analysis|&|Comparative analysis|&|Comparative Analysis	2	17,3100331402	82,216013407	105,545751482	11	754	x	
